phrase, score
newport lions club, 4
newport & district, 4
thompson 1937 -, 4
mount street gardens, 4
miles always in, 4
vc born 1824, 4
gardiner committee mr, 4
country in the, 4
country in time, 4
valley mills sports, 4
ontario canada in, 4
canada in memory, 4
canada 1922 died, 4
commissioned by public, 4
american women society, 4
soroptimist club of, 4
1964 - 1986, 4
1964 - 2009, 4
1964 - 2017, 4
1964 - 2005, 4
tragically killed on, 4
tragically on 2, 4
joyful memory of, 4
1901 - 1993, 4
18 ans le, 4
later with his, 4
stirling tourist association, 4
morgan 1938 -, 4
united states air, 4
fiftieth anniversary of, 4
states air force, 4
force be with, 4
thee while we, 4
thee for those, 4
leave and impossible, 4
webb 1936 -, 4
hewitt - 1950, 4
"an everlasting friend", 4
dick and dot, 4
sidmouth beloved husband, 4
victoria cross for, 4
again" 9/4/76 –, 4
constant memory of, 4
bristol channel pilot, 4
farm corley moor, 4
bay swimming club, 4
jill frances and, 4
kennedy a clark, 4
looking over the, 4
looking at your, 4
looking forward to, 4
looking this bay, 4
seats presented by, 4
rail station best, 4
barling who enjoyed, 4
most of her, 4
most of their, 4
most wonderful husband, 4
most wonderful wife, 4
most perfect refreshment, 4
most are those, 4
most important thing, 4
holt who lived, 4
oliver who loved, 4
millennium committee 1997-2003, 4
former leader of, 4
former choristers association, 4
former mayor of, 4
former mayoress of, 4
former member of, 4
institute november 1970, 4
held in the, 4
held so dear, 4
cramond hobson mbe, 4
hobson mbe gifted, 4
token of respect, 4
crescent and its, 4
crescent association marianna, 4
woods gwraig mam, 4
diane keen feb, 4
yorkshire sculpture park, 4
limited in memory, 4
jp member of, 4
jp representative of, 4
jp for the, 4
1963 - 2012, 4
1963 - 1999, 4
1963 - 2019, 4
1963 - 2008, 4
christian og barnebarna, 4
annual general meeting, 4
york city who, 4
york business pride, 4
york moors national, 4
smiles not tears, 4
blind in memory, 4
clifford miller died, 4
tucker 1914 -, 4
a' the seas, 4
seas gang dry", 4
kiss and then, 4
oscar (bob) boon, 4
honorary secretary of, 4
nicolson street church, 4
leads me beside, 4
nothing better than, 4
nothing worth the, 4
into that good, 4
into my life, 4
somewhere to sit, 4
it's hard to, 4
it's then we, 4
it's dark look, 4
it's been a, 4
 len , 4
 8th august, 4
16 april 2015, 4
disaster 1954 in, 4
alderman david bradford, 4
alderman francis william, 4
infinity in the, 4
art development trust, 4
ae 8th june, 4
fly with the, 4
kindness to all, 4
kindness and passion, 4
kindness in another's, 4
wisdom to know, 4
courage in the, 4
courage in your, 4
courage to change, 4
courage and determination, 4
about it when, 4
about these local, 4
reminds us of, 4
reminds me of, 4
plaque is dedicated, 4
there's nothing worth, 4
tower - 2005, 4
toni morrison society, 4
nearly 80 years, 4
1965 - 2006, 4
1965 - 2016, 4
1965 - 2010, 4
we're together again, 4
we're far apart, 4
47 'bike or, 4
big man big, 4
big heart and, 4
loves london's gardens, 4
loves last gift, 4
loves this park, 4
views from here, 4
kept no words, 4
kept to love, 4
kept of one, 4
ivan porter chair, 4
showed us how, 4
cookson who died, 4
matthews in loving, 4
feel the sky, 4
feel when i, 4
feel myself beloved, 4
sailing and playing, 4
sailing the seas, 4
along this seafront, 4
along this river, 4
along with me, 4
along with their, 4
along with many, 4
along the beach, 4
along the canal, 4
along the parade, 4
along the river, 4
along the road, 4
along the way, 4
along these shores, 4
along these cliffs, 4
celebrating 25 years, 4
celebrating 50 years, 4
celebrating 100 years, 4
2017 reunited with, 4
2017 a valued, 4
2017 who spent, 4
2017 much loved, 4
2017 have some, 4
2017 donated by, 4
isle of bute, 4
sisters and brothers, 4
sisters & brothers, 4
treasure them all, 4
treasure in our, 4
treasure ours of, 4
treasure and keep, 4
treasure loved beyond, 4
you'll live on, 4
you'll live forever, 4
you'll die today, 4
chair of bridgnorth, 4
happiest in the, 4
walton in bloom, 4
walton of derby, 4
walton remembers fondly, 4
eternal father strong, 4
eternal course of, 4
perfect in every, 4
perfect refreshment jane, 4
mam and nana, 4
mam & dad, 4
mam nani a, 4
life-long resident of, 4
life-long love for, 4
continue to inspire, 4
lose you both, 4
faithful servant of, 4
servant of mordiford, 4
waters he restores, 4
term in office, 4
term friend of, 4
wardle who loved, 4
dales district council, 4
powell 1920 -, 4
nottingham piscatorial society, 4
lilian emily oldfield, 4
sleep in peace, 4
sleep the tempest, 4
sleep i'm in, 4
lou lancaster of, 4
used to sit, 4
used to play, 4
thornton minister of, 4
above self" benches, 4
dancing together again, 4
essex sound and, 4
hard to forget, 4
hard working and, 4
om sissel min, 4
om vår kjære, 4
om gunvor og, 4
amazing husband father, 4
amazing dad a, 4
amazing memories of, 4
"and all i, 4
niece and friend, 4
berkeley square gardens, 4
berkeley square and, 4
atlanta georgia usa, 4
serenity to accept, 4
mayfair resident for, 4
nancy diane keen, 4
le all things, 4
townswomens guild to, 4
los angeles california, 4
enjoyment of present, 4
patron saint of, 4
came here often, 4
came to canada, 4
came to love, 4
johnston of san, 4
johnston 1914 -, 4
san francisco who, 4
francisco who visited, 4
commander in the, 4
commander kenneth william, 4
navy during the, 4
normandy landings and, 4
landings and later, 4
bloom i'm always, 4
hopes and dreams, 4
magic of the, 4
magic & our, 4
peaceful place to, 4
deep in my, 4
deep leaving us, 4
porter chair of, 4
another and be, 4
another as i, 4
kaur hayer april, 4
nature and life, 4
nature and all, 4
nature and big, 4
nature sadly missed, 4
nature kind and, 4
nature that he, 4
nature lover and, 4
nature as she, 4
nature reserve with, 4
60th wedding anniversary, 4
60th anniversary of, 4
wedding anniversary 26th, 4
wedding of prince, 4
learn is just, 4
tranquillity in a, 4
tranquillity of these, 4
sing in spring, 4
"in honour of, 4
mp mcdonald (1907-1955), 4
roger and betty, 4
red cross disabled, 4
2005) greatly missed, 4
2005) a wonderful, 4
kind and thoughtful, 4
kind and special, 4
kind generous and, 4
kind caring and, 4
frics in commemoration, 4
reunited with mum, 4
reunited with our, 4
reunited with stan, 4
reunited in love, 4
reunited in loving, 4
reunited in the, 4
here" in loving, 4
giving me a, 4
lloyd and reid, 4
danielle miller cabaret, 4
mcgrath who loved, 4
margot jane lidstone, 4
collier (nanny eley), 4
hudson 26061965 -, 4
lancaster of falmouth, 4
falmouth maine who, 4
maine who loves, 4
london's gardens almost, 4
almost as much, 4
1905 - 1991, 4
1905 - 1986, 4
1905 - 2000, 4
1905 - 1984, 4
1905 - 1999, 4
1905 - 1983, 4
1905 - 2001, 4
1905 rotary international, 4
papa and great, 4
papa forever in, 4
everything to live, 4
matters not how, 4
secret tears still, 4
something beautiful remains, 4
something that makes, 4
something you must, 4
something of her, 4
goes by that, 4
woman who was, 4
woman i shall, 4
1923-2010 together forever, 4
bower committee in, 4
wing commander kenneth, 4
comes and the, 4
comes a day, 4
gold who loved, 4
gold they never, 4
1908 - 2001, 4
1908 - 1941, 4
1908 - 1989, 4
1908 - 1978, 4
1908 - 1986, 4
1908 - 1995, 4
1908 - 2002, 4
1908 - 1999, 4
1908 - 2004, 4
1908 - 1982, 4
1908 - 200i, 4
failed to do, 4
prom "rest in, 4
gently sweet afton, 4
"we are such, 4
"we miss you", 4
"we used to, 4
"we love you", 4
benches have been, 4
benches donated by, 4
ended but the, 4
birch 1918 -, 4
min kjære samboer, 4
she's gone or, 4
much-loved husband father, 4
talk to me, 4
talk to us, 4
oh i do, 4
presence of the, 4
citizen of edinburgh, 4
1969 - 3, 4
1969 - 2014, 4
1969 - 2005, 4
1969 - 1995, 4
1969 - 2018, 4
parsons 1927 -, 4
magdalen college 2001-2004, 4
tutor in molecular, 4
dphil mrcp frcpath, 4
mrcp frcpath 1972-2015, 4
frcpath 1972-2015 consultant, 4
1972-2015 consultant physician, 4
consultant physician the, 4
molecular medicine magdalen, 4
medicine magdalen college, 4
2001-2004 this bench, 4
contributed to the, 4
keith walker chairman, 4
shropshire union canal, 4
waterways association hertfordshire, 4
senior citizens of, 4
minute of it, 4
hope to be, 4
londoner who loved, 4
lambert 1925 -, 4
daddy x x, 4
daddy and grandad, 4
valery family bench, 4
living in porthilly, 4
living in the, 4
griffiths 1922 -, 4
speen parish council, 4
building society to, 4
ramblers in memory, 4
tralee bay swimming, 4
fishing these waters, 4
fishing had to, 4
you’ll never walk, 4
built by the, 4
happier than when, 4
someone so special, 4
someone who gave, 4
someone very special, 4
afc ae 8th, 4
across the ocean, 4
across the world, 4
style what charm", 4
coventry and district, 4
coventry (berkswell) scout, 4
chiswick house friends, 4
darshan singh hayer, 4
ollie ford 1989, 4
carry your heart, 4
valued friend to, 4
valued colleague and, 4
valued employee but, 4
moss born in, 4
married for 58, 4
married 70 years, 4
married 60 years, 4
williamson 1947 -, 4
rainbows shining in, 4
rainbows when it's, 4
sail on these, 4
armstrong a loving, 4
sponsored by soroptimist, 4
sponsored by canary, 4
sponsored by martin, 4
sponsored by john, 4
stratford-upon-avon 41 club, 4
stratford-upon-avon & district, 4
41 club in, 4
thy eternal summer, 4
spencer 29th july, 4
kennet and avon, 4
kennet & avon, 4
avon canal trust, 4
paris - vevey, 4
rector of st, 4
wellesbourne & district, 4
yates and the, 4
wells city carnival, 4
flow what it, 4
flow gently sweet, 4
15 april 2010, 4
15 june 1987, 4
15 may 1924, 4
yvonne holt who, 4
yvonne mcmillan who, 4
gods heart in, 4
stand like stone, 4
stand around and, 4
voice of the, 4
words are needed, 4
words can express, 4
words & missed, 4
accept the things, 4
myself beloved to, 4
myself beloved on, 4
nieces and nephews, 4
burnham labour party, 4
marks and spencer, 4
marks the site, 4
marks & spencer, 4
saved many lives, 4
opened by her, 4
strong and deep, 4
strong to save, 4
pride 2nd engineering, 4
development trust sponsored, 4
hinton lover of, 4
arms forever in, 4
arms around you, 4
arms enfold you, 4
class of 2007, 4
player and founder, 4
player & committee, 4
team "for your, 4
finance officer at, 4
denise karen and, 4
amongst the stars, 4
bluebells in priory, 4
dixon esq jp, 4
cork died age, 4
name in the, 4
rush of quiet, 4
worry be happy, 4
fisher who lived, 4
dawson who died, 4
four legged friend, 4
four seasons in, 4
spend time in, 4
countryside and the, 4
countryside and his, 4
og træplantningsselskap og, 4
og besta johan, 4
og barnebarna fpv, 4
og kaare bø, 4
og savner rita, 4
og verdens beste, 4
alive in our, 4
cry to thee, 4
pure in heart, 4
pure eternal course, 4
walt sobutta aged, 4
sobutta aged 47, 4
'bike or boot', 4
boot' rest awhile, 4
hit the trails!, 4
ground ev-ery inch, 4
partnership scheme donated, 4
legend jean couper, 4
respect by his, 4
respect of intelligent, 4
kate family and, 4
cathedral former choristers, 4
assoc walton remembers, 4
bishop 1931 -, 4
canham born in, 4
"may the lord, 4
eaton millennium committee, 4
(tyler) 1131926 -, 4
1131926 - 1352011, 4
1352011 "gone are, 4
"gone but never, 4
day" douglas and, 4
reserve in memory, 4
reserve with a, 4
waste waitrose wwwwaitrosecom, 4
harbour commissioners this, 4
worker for the, 4
sunday school teacher, 4
ends there's nothing, 4
federation of residents, 4
unison medway health, 4
medway health branch, 4
chevening parish council, 4
womens institute november, 4
womens institute september, 4
pearce 1917 -, 4
highbridge & burnham, 4
beth & mason, 4
o'donnell george medal, 4
joann francesca england, 4
francesca england wife, 4
harbinson 1925 -, 4
fund veolia environmental, 4
commemorative seat in, 4
walkers products ltd, 4
crystal palace park, 4
saleh f alzouman, 4
wrvs in memory, 4
horace minton holland, 4
horace donald calder, 4
serving the community, 4
die" in loving, 4
lichfield cathedral former, 4
lichfield greenhill bower, 4
lichfield civic society, 4
lichfield canal trust, 4
lichfield inner wheel, 4
lichfield district tourism, 4
lichfield town crier, 4
"you'll never walk, 4
trail of beautiful, 4
trail on the, 4
watson 1931 -, 4
ufton nervet 6th, 4
nervet 6th november, 4
marie schleichert u, 4
marie carson garden, 4
fondly remembered for, 4
fondly remembered and, 4
sense of fun, 4
sense of place, 4
humour and zest, 4
humour and a, 4
humour are sadly, 4
gallagher loving husband, 4
greenhill bower committee, 4
bland member of, 4
dfc afc ae, 4
ella may 1921, 4
idea is to, 4
proudly provided by, 4
you've got a, 4
ayling 1917 -, 4
vickers 20th december, 4
rencontrons encore notre, 4
encore notre beau, 4
notre beau garçon, 4
fade gerard wee, 4
weep i'm all, 4
forest of arden, 4
forest donated in, 4
( 1914 -, 4
) milburn a, 4
) and wife, 4
"she loved this, 4
clouds we will, 4
listen for my, 4
phoebe association to, 4
funds raised 1990, 4
raised by the, 4
raised by donations, 4
raised in portholland, 4
patrons of the, 4
founding of the, 4
founding director of, 4
of: paul r, 4
grampy and friend, 4
dianne kelly &, 4
wilf harris slashpits, 4
55 years in, 4
31st january 2004, 4
31st december 2018, 4
fuller son in, 4
densley passed away, 4
sons-in-law harry and, 4
churchwarden of st, 4
treasurer of the, 4
even one life, 4
even as the, 4
even in the, 4
(1936 - 2011), 4
reverend gordon white, 4
parent governor and, 4
parent and friend, 4
governor and friend, 4
[left] donated by, 4
[left] happy memories, 4
[right] also in, 4
[right] and in, 4
generosity of spirit, 4
🌹 in loving, 4
gibbs 1911 –, 4
hrh the prince, 4
hrh prince of, 4
floral association april, 4
gibson of mirfield, 4
wakefield mdc in, 4
wilton of london, 4
estate acquired by, 4
fair winds and, 4
purchased thanks to, 4
proceeds of the, 4
show to any, 4
cruising club in, 4
winterbourne down village, 4
winterbourne parish council, 4
milburn a dear, 4
tenants associations of, 4
jokes we enjoyed, 4
maggie lavin who, 4
hello donated by, 4
riverhead parish council, 4
whelan 25-9-65 -, 4
melody lingers on, 4
senator dr fritz, 4
una maud daley, 4
thing in life, 4
thing of beauty, 4
breathed easier because, 4
noise and haste, 4
tranquility and beauty, 4
put his arms, 4
put your feet, 4
put the world, 4
put out to, 4
planting at capel's, 4
employee of the, 4
employee but most, 4
wilfrid quarmby who, 4
quarmby who died, 4
representative of canongate, 4
active service during, 4
active service in, 4
villagers of beaford, 4
70 års dagen, 4
2006) she was, 4
organist of this, 4
benk for gode, 4
benk til minne, 4
monro family 1970, 4
mallet you will, 4
02 august 2003, 4
visit this place, 4
visit to the, 4
luv and miss, 4
moonlight sleeps upon, 4
sleeps upon this, 4
fellows august 2001, 4
watkins a special, 4
ford 1989 -, 4
missing you already, 4
missing you lots, 4
missing you every, 4
missing you always, 4
food of love, 4
worcester royal infirmary, 4
ashes are interred, 4
afghanistan 13 august, 4
alcester - moorfields, 4
foster 1920 -, 4
nanna & grandad, 4
brookes passed away, 4
rebecca bradley of, 4
consider life's simple, 4
impossible to forget, 4
batchelor 1905 -, 4
benefactor of the, 4
greater london council, 4
passing of time, 4
southborough cricket club, 4
infectious smile and, 4
hoare long-time friends, 4
durham light infantry, 4
scheme in memory, 4
scheme donated to, 4
prince of wales's, 4
prince and flights, 4
milton of campsie, 4
tous les continents, 4
tous les citoyens, 4
either side of, 4
(bunty) who loved, 4
result of a, 4
twinkle twinkle little, 4
twinkle little star, 4
speaking of the, 4
audio bench by, 4
jong commissioned by, 4
wharf group plc, 4
'his special place', 4
taught us how, 4
taught us everything, 4
taught their family, 4
taught his family, 4
"do not go, 4
92 years a, 4
torr & beloved, 4
count the days, 4
count your life, 4
blinded in her, 4
kirkpatrick 1943 -, 4
03 2017 so-il, 4
amid the noise, 4
'he lived for, 4
wit and his, 4
rhythm of the, 4
alma jennifer booth, 4
karori wildlife sanctuary, 4
moment to sit, 4
life's work well, 4
life's simple pleasures, 4
cecile mcqueen (nee, 4
padstow & district, 4
marilyn pat &, 4
declaration of independence, 4
"this is the, 4
ev -e -, 4
twinning association founded, 4
passionate cricketer veteran, 4
southard leg spinner, 4
trent & mersey, 4
woody 17th march, 4
purpose by the, 4
derbyshire dales district, 4
climb and when, 4
churchyard for many, 4
60 years a, 4
60 years service, 4
1952-2007 mom wife, 4
brings that then, 4
crawford and marjorie, 4
crawford in loving, 4
bench] in loving, 4
giorla of cheltenham, 4
took you home, 4
clear blue sky, 4
clear call for, 4
strange that those, 4
left] in loving, 4
back] in memory, 4
want you to, 4
[under seat] presented, 4
seat] presented by, 4
"those we love, 4
im loving memory, 4
cornish gentle man, 4
apart for every, 4
under the sun, 4
i've loved this, 4
purple with a, 4
mdc in 2007, 4
🏍 in memory, 4
believe stronger than, 4
believe in the, 4
loudonville new york, 4
mcintyre 1928 -, 4
126 princes street, 4
derby rspb members, 4
derby - 1989, 4
doing with a, 4
glorious years of, 4
nice night tonight", 4
shown to us, 4
essie coffin loved, 4
coffin loved to, 4
coffin who spent, 4
fabulous view toujours, 4
mcqueen (nee peloquin), 4
peloquin) 1952-2007 mom, 4
toujours avec nous, 4
keen feb 9, 4
visiting the park, 4
visiting brockwell park, 4
visiting dawlish for, 4
battle of britain, 4
wear of winning, 4
wear purple with, 4
thinker a gentle, 4
safe in our, 4
safe and loved, 4
wishing you were, 4
customers of the, 4
[top] in memory, 4
[top] in loving, 4
landscape of his, 4
rover tours group, 4
step ev-ery step, 4
step a bless, 4
mayford village society, 4
lad from meadow, 4
lad and a, 4
rushpal singh mann, 4
bonehill 1921 -, 4
meadow road who, 4
swam in the, 4
hugs and kisses, 4
wilhelm mohr's benk, 4
palm of your, 4
2004) who loved, 4
outstanding service to, 4
rising of the, 4
fill your days, 4
placidly amid the, 4
ripley who died, 4
moors national park, 4
1100th anniversary of, 4
installed by british, 4
installed by chineham, 4
grimes founder of, 4
locke & son, 4
self" benches donated, 4
moorfields charity 1976, 4
lifetime of love, 4
lifetime of happy, 4
lifetime resident of, 4
